tick,x,y,z,dx,dy,dz,yaw,pitch,onGround,sprinting,sneaking,keyUp,keyDown,keyLeft,keyRight,keyJump,keyShift,keySprint
0,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4616752568008179712,4633359591634108416,-4592756826243596288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,0,0,1,0,0,0,0,0,0,0,0,0
26,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,0,0,1,0,0,0,0,0,0,0,0,0
27,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,0,0,1,0,0,0,0,0,0,0,0,0
28,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,0,0,1,0,0,0,0,0,0,0,0,0
29,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,0,0,1,0,0,0,0,0,0,0,0,0
30,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,0,0,1,0,0,0,0,0,0,0,0,0
31,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,0,0,1,0,0,0,0,0,0,0,0,0
32,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,-1073534559,-1088210562,1,0,0,0,0,0,0,0,0,0
33,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,-1063522286,-1073343539,1,0,0,0,0,0,0,0,0,0
34,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,-1062376170,-1071051306,1,0,0,0,0,0,0,0,0,0
35,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,-1071624366,-1078675836,1,0,0,0,0,0,0,0,0,1
36,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1100428172,1086922162,1,0,0,0,0,0,0,0,0,1
37,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1111944722,1097029944,1,0,0,0,0,0,0,0,0,1
38,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1116650238,1092302214,1,0,0,0,0,0,0,0,0,1
39,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1118757422,1083292792,1,0,0,0,0,0,0,0,0,1
40,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1119014105,1079679666,1,0,0,0,0,0,0,0,0,1
41,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1117778448,1078533551,1,0,0,0,0,0,0,0,0,1
42,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1117229267,1078151512,1,0,0,0,0,0,0,0,0,1
43,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1117229267,1078151512,1,0,0,0,0,0,0,0,0,1
44,4616752568008179712,4633359591634108416,-4592756826243596288,0,-4633058300709086167,0,1117229267,1078151512,1,0,0,0,0,0,0,0,0,1
45,4616613778007216231,4633359591634108416,-4592761354404840386,-4633857737834616874,-4633058300709086167,4580720648124994877,1117175543,1068425764,1,1,0,1,0,0,0,0,0,1
46,4616400048670562342,4633359591634108416,-4592768739673825242,-4631239057384084662,-4633058300709086167,4583915489228661570,1117008402,1064621612,1,1,0,1,0,0,0,0,0,1
47,4616101186848979375,4633359591634108416,-4592777684923817748,-4629809257692019083,-4633058300709086167,4585162146668521616,1117008402,1064621612,1,1,0,1,0,0,0,0,0,1
48,4615546780335616610,4633359591634108416,-4592787385961507735,-4629360720700941728,-4633058300709086167,4585584710642416016,1117050188,1067661686,1,1,0,1,0,0,0,0,0,1
49,4614967382516162815,4633359591634108416,-4592797418471126794,-4629142396625571572,-4633058300709086167,4585770037945373857,1117086003,1069571881,1,1,0,1,0,0,0,0,0,1
50,4614613358212022272,4633359591634108416,-4592807549011800294,0,-4633058300709086167,4585824847506402761,1117121819,1071864114,1,1,0,1,0,0,0,0,0,1
51,4614613358212022272,4633418701377372160,-4592816223345333229,0,4599674017386589685,4585010676174715803,1117366562,1075095202,0,0,0,1,0,0,0,1,0,1
52,4614613358212022272,4633465595107596252,-4592821375003868253,0,4598108061816866538,4584961342663421626,1117957527,1075477240,0,0,0,1,0,0,0,1,0,1
53,4614569223043658914,4633500517144808483,-4592826056930614083,-4642573950887229092,4595104603415595319,4584382834897562559,1119109613,1077769474,0,0,0,1,0,0,0,1,0,0
54,4614485566603839897,4633523706922640748,-4592829848759968176,-4638339064623507252,4590650808332220283,4582723978142722071,1120375116,1066515574,0,0,0,1,0,0,0,0,0,0
55,4614353706206286807,4633535399086056872,-4592832447356355246,-4635531666044166103,4569101448040898630,4580500173662650749,1120894449,1068807806,0,1,0,1,0,0,0,0,0,1
56,4614180681733763231,4633535823587125878,-4592833443274456334,-4633669143406516438,-4633271298369615887,4574074312954194201,1122034595,1083579322,0,1,0,1,0,0,0,0,0,1
57,4613974696490238313,4633525205778879794,-4592832436876096779,-4632709325727295585,-4628715563038355714,-4649219596505932059,1123318006,1088259298,0,1,0,1,0,0,0,0,0,1
58,4613740547076125116,4633503766507294307,-4592829437979932079,-4631889185056128569,-4626000674262927107,-4642125832481050906,1123747798,1089882962,0,1,0,1,0,0,0,0,0,1
59,4613480768266037950,4633500329122463744,-4592824625910712442,-4631142857023857540,-4633058300709086167,-4638746658024638885,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
60,4613010855326416731,4633500329122463744,-4592809831558097731,-4630497296356898719,-4633058300709086167,-4634939633133920186,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
61,4612520768615953049,4633500329122463744,-4592791338471133211,-4630144820191798170,-4633058300709086167,-4633537836144021899,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
62,4612019667025329975,4633500329122463744,-4592770825874979124,-4629952368183299463,-4633058300709086167,-4632973278245485135,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
63,4611339084191494728,4633500329122463744,-4592749210626679457,-4629847289374453990,-4633058300709086167,-4632665029597080172,1123747798,1089882962,1,1,0,1,0,0,0,0,0,1
64,4610314356145174430,4633500329122463744,-4592727167569309017,-4629755590939155497,-4633058300709086167,-4632545434701835954,1123658258,1089023375,1,1,0,1,0,0,0,0,0,1
65,4609270024251933331,4633500329122463744,-4592705543931656063,-4629642374324716532,-4633058300709086167,-4632662684336317583,1123329943,1089787452,1,1,0,1,0,0,0,0,0,1
66,4607425269367058730,4633559438865727488,-4592670570015160930,-4626146126291162999,4599674017386589685,-4629315501844402833,1123049383,1090456021,0,1,0,1,0,0,0,1,0,1
67,4605452037073870924,4633606332595951580,-4592649760831402122,-4626137474720530013,4598108061816866538,-4629356308976078458,1122834488,1090774060,0,1,0,1,0,0,0,1,0,1
68,4603230661430795661,4633641254633163811,-4592629204191984872,-4626118208990414847,4595104603415595319,-4629415141707583268,1122613623,1090869570,0,1,0,1,0,0,0,1,0,1
69,4599325134191541450,4633664444410996076,-4592608956675402839,-4626091603845168663,4590650808332220283,-4629487154965350802,1122428573,1090869570,0,1,0,1,0,0,0,0,0,1
70,4589369200636256352,4633676136574412200,-4592589104691774684,-4626055295239135575,4569101448040898630,-4629579298324941724,1122165921,1090869570,0,1,0,1,0,0,0,0,0,1
71,-4627546950075646148,4633676561075481206,-4592569792538333505,-4626005410935580632,-4633271298369615887,-4629709697400978132,1121760005,1090917325,0,1,0,1,0,0,0,0,0,1
72,-4621832217768917366,4633665943267235122,-4592551206838290051,-4625941824345072595,-4628715563038355714,-4630048166577801116,1121240670,1091108345,0,1,0,1,0,0,0,0,0,1
73,-4618972542725929445,4633644503995649635,-4592533558552511028,-4625867779325470448,-4626000674262927107,-4630484926644471883,1120643735,1091394875,0,1,0,1,0,0,0,0,0,1
74,-4616700771137628032,4633641066610819072,-4592519686542622359,-4625934767744504919,-4633058300709086167,-4632244369158012717,1120178124,1091633650,1,1,0,1,0,1,0,1,0,1
75,-4614065529876415801,4633700176354082816,-4592516338794945647,-4624503228585208930,4599674017386589685,-4644731457735931860,1119754299,1091681405,0,1,0,1,0,1,0,1,0,1
76,-4612678543486161808,4633747070084306908,-4592516935870174001,-4624651786330844691,4598108061816866538,4571048480075497387,1119551341,1091681405,0,1,0,1,0,1,0,1,0,1
77,-4611493854986787315,4633781992121519139,-4592517365772721186,-4624688675730923074,4595104603415595319,4568556028944134145,1119330476,1091824670,0,1,0,1,0,0,0,1,0,1
78,-4610810011478601189,4633805181899351404,-4592517757671655598,-4624722036053798815,4590650808332220283,4567989416343380449,1119091703,1092063445,0,1,0,1,0,0,0,1,0,1
79,-4610130380194841396,4633816874062767528,-4592518251787030313,-4624752701048506278,4569101448040898630,4569513406271020063,1118805174,1092397730,0,1,0,1,0,0,0,0,0,1
80,-4609454815054938804,4633817298563836534,-4592519052236335239,-4624782302576639808,-4633271298369615887,4572617147768074792,1118357472,1092875280,0,1,0,1,0,0,0,0,0,1
81,-4608783322830583062,4633806680755590450,-4592520318039424708,-4624811953402675407,-4628715563038355714,4575871725720591869,1117963494,1093114055,0,1,0,1,0,0,0,0,0,1
82,-4608115797915898974,4633785241484004963,-4592522105670931245,-4624840835417917428,-4626000674262927107,4577816768145289484,1117754567,1092827525,0,1,0,1,0,0,0,0,0,1
83,-4607451883253120139,4633781804099174400,-4592524368166310999,-4624867118052545128,-4633058300709086167,4579586756802775080,1117754567,1092827525,1,1,0,1,0,0,0,0,0,1
84,-4606873902395820158,4633781804099174400,-4592529605790885434,-4626459575588263397,-4633058300709086167,4581513975788831498,1117754567,1092827525,1,1,0,1,0,0,0,0,0,1
