x_bits,sin_bits,cos_bits
3251179483,0,1065353216
3250973596,1053028117,1064076126
3250767708,1060439283,1060439283
3250561821,1064076126,1053028117
3250355933,1065353216,3100184539
3250150046,1064076126,3200511765
3249944158,1060438146,3207924069
3249738271,1053028117,3211559774
3249532384,621621554,3212836864
3249326496,3200511765,3211559774
3249120609,3207922931,3207922931
3248914721,3211560390,3200508793
3248708834,3212836864,0
3248502947,3211559774,1053028117
3248297059,3207922931,1060439283
3248091172,3200511765,1064076126
3247885284,0,1065353216
3247679397,1053028117,1064076126
3247473509,1060440421,1060438146
3247267622,1064076126,1053028117
3247061735,1065353216,621621554
3246855847,1064076126,3200511765
3246649960,1060439283,3207922931
3246444072,1053025145,3211560390
3246085074,621621554,3212836864
3245673299,3200511765,3211559774
3245261524,3207922931,3207922931
3244849749,3211559774,3200511765
3244437974,3212836864,0
3244026200,3211559774,1053028117
3243614425,3207922931,1060439283
3243202650,3200511765,1064076126
3242790875,0,1065353216
3242379100,1053028117,1064076126
3241967325,1060440421,1060438146
3241555550,1064076742,1053025145
3241143776,1065353216,621621554
3240732001,1064076126,3200511765
3240320226,1060439283,3207922931
3239908451,1053028117,3211559774
3239496676,621621554,3212836864
3239084901,3200514737,3211559159
3238673127,3207922931,3207922931
3238261352,3211559774,3200511765
3237696466,3212836864,0
3236872916,3211559774,1053028117
3236049366,3207922931,1060439283
3235225817,3200511765,1064076126
3234402267,0,1065353216
3233578717,1053031089,1064075511
3232755168,1060439283,1060439283
3231931618,1064076126,1053028117
3231108068,1065353216,621621554
3230284519,1064076126,3200511765
3229307858,1060439283,3207922931
3227660758,1053028117,3211559774
3226013659,621621554,3212836864
3224366560,3200511765,3211559774
3222719460,3207922931,3207922931
3220919250,3211559774,3200511765
3217625051,3212836864,0
3214330852,3211559774,1053028117
3209236443,3207922931,1060439283
3200847835,3200511765,1064076126
0,0,1065353216
1053364187,1053028117,1064076126
1061752795,1060439283,1060439283
1066847204,1064076126,1053028117
1070141403,1065353216,621621554
1073435602,1064076126,3200511765
1075235812,1060439283,3207922931
1076882912,1053028117,3211559774
1078530011,621621554,3212836864
1080177110,3200511765,3211559774
1081824210,3207922931,3207922931
1082800871,3211559774,3200511765
1083624420,3212836864,0
1084447970,3211559774,1053028117
1085271520,3207922931,1060439283
1086095069,3200514737,1064076126
1086918619,0,1065353216
1087742169,1053028117,1064076126
1088565718,1060439283,1060439283
1089389268,1064076126,1053028117
1090212818,1065353216,621621554
1090777704,1064076126,3200511765
1091189479,1060439283,3207922931
1091601253,1053031089,3211559159
1092013028,621621554,3212836864
1092424803,3200511765,3211559774
1092836578,3207922931,3207922931
1093248353,3211559774,3200511765
1093660128,3212836864,0
1094071902,3211560390,1053028117
1094483677,3207924069,1060439283
1094895452,3200511765,1064076126
1095307227,0,1065353216
1095719002,1053028117,1064076126
1096130777,1060439283,1060439283
1096542552,1064076126,1053028117
1096954326,1065353216,621621554
1097366101,1064076126,3200511765
1097777876,1060439283,3207922931
1098189651,1053028117,3211559774
1098601426,621621554,3212836864
1098960424,3200508793,3211560390
1099166312,3207922931,3207922931
1099372199,3211559774,3200511765
1099578087,3212836864,0
1099783974,3211559774,1053028117
1099989861,3207924069,1060438146
1100195749,3200511765,1064076126
1100401636,0,1065353216
1100607524,1053028117,1064076126
1100813411,1060439283,1060439283
1101019299,1064076126,1053028117
1101225186,1065353216,621621554
1101431073,1064076742,3200508793
1101636961,1060439283,3207922931
1101842848,1053028117,3211559774
1102048736,621621554,3212836864
1102254623,3200511765,3211559774
1102460510,3207921794,3207924069
1102666398,3211559774,3200511765
1102872285,3212836864,3100184539
1103078173,3211559774,1053028117
1103284060,3207922931,1060439283
1103489948,3200511765,1064076126
0,0,1065353216
1065353216,1062693212,1057641281
3212836864,3210176860,1057639927
1056964608,1056273710,1063299538
1016003125,1016000362,1065350662
1078530011,621621554,3212836864
3226013659,621621554,3212836864
1070141403,1065353216,621621554
1086918619,0,1065353216
1119092736,1063574812,3202705747
1127481344,3209500660,3206100275
3266576384,3211058460,3202705747
1148846080,1062448420,1058011621
3296329728,3209932068,1058011621
