seed,op,arg,bits
0,int,-1,3139482720
0,int,-1,3571011896
0,int,-1,1033096058
0,int,-1,2604232894
0,int,-1,2737687030
0,int,-1,1327362106
0,int,-1,2364108983
0,int,-1,502539523
0,int,-1,2566437438
0,int,-1,3356665709
0,int,-1,1431162155
0,int,-1,1085665355
0,int,-1,1654374947
0,int,-1,2632968525
0,int,-1,4229862191
0,int,-1,4221177688
0,intb,2,1
0,intb,3,0
0,intb,5,1
0,intb,6,2
0,intb,7,1
0,intb,10,8
0,intb,100,24
0,intb,1000,947
0,intb,1024,150
0,intb,65536,46214
0,intb,1073741824,24951751
0,intb,999999999,2977882
0,long,-1,10085568407825846111
0,long,-1,17791642137626769530
0,long,-1,1927512926176735975
0,long,-1,11531915052717248108
0,long,-1,7577852396602278602
0,long,-1,14320434048764796566
0,long,-1,18275609489848673070
0,long,-1,8987859488885190724
0,float,-1,1061095853
0,float,-1,1065033528
0,float,-1,1060876250
0,float,-1,1058139588
0,float,-1,1062287969
0,float,-1,1011995328
0,float,-1,1062650244
0,float,-1,1054019124
0,double,-1,4602919306300121868
0,double,-1,4606275709191625942
0,double,-1,4593993711619792956
0,double,-1,4590649697234272552
0,double,-1,4606989433612564701
0,double,-1,4604681634050891064
0,double,-1,4604615646360347105
0,double,-1,4594328078481508436
0,bool,-1,0
0,bool,-1,0
0,bool,-1,0
0,bool,-1,1
0,bool,-1,0
0,bool,-1,1
0,bool,-1,0
0,bool,-1,1
0,bool,-1,0
0,bool,-1,1
0,bool,-1,1
0,bool,-1,1
0,bool,-1,1
0,bool,-1,1
0,bool,-1,1
0,bool,-1,1
1,int,-1,3139097971
1,int,-1,431529176
1,int,-1,1761283695
1,int,-1,1749940626
1,int,-1,892128508
1,int,-1,155629808
1,int,-1,1429008869
1,int,-1,2829813213
1,int,-1,4156479957
1,int,-1,3052603496
1,int,-1,26273138
1,int,-1,655996946
1,int,-1,4139080634
1,int,-1,685382526
1,int,-1,4036691124
1,int,-1,2379722468
1,intb,2,1
1,intb,3,0
1,intb,5,1
1,intb,6,5
1,intb,7,2
1,intb,10,2
1,intb,100,10
1,intb,1000,99
1,intb,1024,301
1,intb,65536,24182
1,intb,1073741824,543832649
1,intb,999999999,856420154
1,long,-1,2139215297105423308
1,long,-1,14213878197679205773
1,long,-1,12172871906224246908
1,long,-1,2891469594365336806
1,long,-1,6976596177944619528
1,long,-1,2578166436595196069
1,long,-1,12819527466871784297
1,long,-1,14853830663055737858
1,float,-1,1000647168
1,float,-1,1062874442
1,float,-1,1057352751
1,float,-1,1019205408
1,float,-1,1061057988
1,float,-1,1060404104
1,float,-1,1041329764
1,float,-1,1049415864
1,double,-1,4602349665515784660
1,double,-1,4603080133214109137
1,double,-1,4603373276589437631
1,double,-1,4596550808837106824
1,double,-1,4603789981595830461
1,double,-1,4595822794554123088
1,double,-1,4577312765373788032
1,double,-1,4594970217499553860
1,bool,-1,0
1,bool,-1,0
1,bool,-1,1
1,bool,-1,0
1,bool,-1,1
1,bool,-1,0
1,bool,-1,0
1,bool,-1,0
1,bool,-1,0
1,bool,-1,1
1,bool,-1,0
1,bool,-1,0
1,bool,-1,0
1,bool,-1,1
1,bool,-1,0
1,bool,-1,1
-1,int,-1,1155099827
-1,int,-1,1887904451
-1,int,-1,52699159
-1,int,-1,2353790878
-1,int,-1,2843631209
-1,int,-1,2580396876
-1,int,-1,1788588954
-1,int,-1,1714930956
-1,int,-1,3548355530
-1,int,-1,242825462
-1,int,-1,3461903616
-1,int,-1,1330441025
-1,int,-1,243908635
-1,int,-1,299040393
-1,int,-1,353780684
-1,int,-1,2963944501
-1,intb,2,1
-1,intb,3,2
-1,intb,5,1
-1,intb,6,1
-1,intb,7,0
-1,intb,10,7
-1,intb,100,63
-1,intb,1000,143
-1,intb,1024,636
-1,intb,65536,21986
-1,intb,1073741824,249791272
-1,intb,999999999,6265644
-1,long,-1,3247304054509887768
